from_block,well,base_strain,receptor,anchor,nanobody,negsel,dilution,notes
1,A1,yNP22422,,,,,,
1,A2,yNP22423,,,,,,
1,A3,yNP22426,,,,,,
1,A4,yNP22431,,,,,,
1,A5,yNP22432,,,,,,
1,A6,yNP22433,,,,,,
1,A7,yNP22446,,,,,,
1,A8,yNP22447,,,,,,
1,A9,yNP22450,,,,,,
1,A10,yNP22455,,,,,,
1,A11,yNP22456,,,,,,
1,A12,yNP22457,,,,,,
1,B1,yNP22422,,,,,,
1,B2,yNP22423,,,,,,
1,B3,yNP22426,,,,,,
1,B4,yNP22431,,,,,,
1,B5,yNP22432,,,,,,
1,B6,yNP22433,,,,,,
1,B7,yNP22446,,,,,,
1,B8,yNP22447,,,,,,
1,B9,yNP22450,,,,,,
1,B10,yNP22455,,,,,,
1,B11,yNP22456,,,,,,
1,B12,yNP22457,,,,,,
1,C1,yNP22422,,,,,,
1,C2,yNP22423,,,,,,
1,C3,yNP22426,,,,,,
1,C4,yNP22431,,,,,,
1,C5,yNP22432,,,,,,
1,C6,yNP22433,,,,,,
1,C7,yNP22446,,,,,,
1,C8,yNP22447,,,,,,
1,C9,yNP22450,,,,,,
1,C10,yNP22455,,,,,,
1,C11,yNP22456,,,,,,
1,C12,yNP22457,,,,,,
1,D1,yNP22422,,,,,,
1,D2,yNP22423,,,,,,
1,D3,yNP22426,,,,,,
1,D4,yNP22431,,,,,,
1,D5,yNP22432,,,,,,
1,D6,yNP22433,,,,,,
1,D7,yNP22446,,,,,,
1,D8,yNP22447,,,,,,
1,D9,yNP22450,,,,,,
1,D10,yNP22455,,,,,,
1,D11,yNP22456,,,,,,
1,D12,yNP22457,,,,,,
1,E1,yNP22422,,,,,,
1,E2,yNP22423,,,,,,
1,E3,yNP22426,,,,,,
1,E4,yNP22431,,,,,,
1,E5,yNP22432,,,,,,
1,E6,yNP22433,,,,,,
1,E7,yNP22446,,,,,,
1,E8,yNP22447,,,,,,
1,E9,yNP22450,,,,,,
1,E10,yNP22455,,,,,,
1,E11,yNP22456,,,,,,
1,E12,yNP22457,,,,,,
1,F1,yNP22422,,,,,,
1,F2,yNP22423,,,,,,
1,F3,yNP22426,,,,,,
1,F4,yNP22431,,,,,,
1,F5,yNP22432,,,,,,
1,F6,yNP22433,,,,,,
1,F7,yNP22446,,,,,,
1,F8,yNP22447,,,,,,
1,F9,yNP22450,,,,,,
1,F10,yNP22455,,,,,,
1,F11,yNP22456,,,,,,
1,F12,yNP22457,,,,,,
1,G1,yNP22422,,,,,,
1,G2,yNP22423,,,,,,
1,G3,yNP22426,,,,,,
1,G4,yNP22431,,,,,,
1,G5,yNP22432,,,,,,
1,G6,yNP22433,,,,,,
1,G7,yNP22446,,,,,,
1,G8,yNP22447,,,,,,
1,G9,yNP22450,,,,,,
1,G10,yNP22455,,,,,,
1,G11,yNP22456,,,,,,
1,G12,yNP22457,,,,,,
1,H1,yNP22422,,,,,,
1,H2,yNP22423,,,,,,
1,H3,yNP22426,,,,,,
1,H4,yNP22431,,,,,,
1,H5,yNP22432,,,,,,
1,H6,yNP22433,,,,,,
1,H7,yNP22446,,,,,,
1,H8,yNP22447,,,,,,
1,H9,yNP22450,,,,,,
1,H10,yNP22455,,,,,,
1,H11,yNP22456,,,,,,
1,H12,yNP22457,,,,,,
2,A1,yNP22422,,,,,,
2,A2,yNP22423,,,,,,
2,A3,yNP22426,,,,,,
2,A4,yNP22431,,,,,,
2,A5,yNP22432,,,,,,
2,A6,yNP22433,,,,,,
2,A7,yNP22446,,,,,,
2,A8,yNP22447,,,,,,
2,A9,yNP22450,,,,,,
2,A10,yNP22455,,,,,,
2,A11,yNP22456,,,,,,
2,A12,yNP22457,,,,,,
2,B1,yNP22422,,,,,,
2,B2,yNP22423,,,,,,
